city,date,max_temp_c,min_temp_c,avg_temp_c,max_wind_kph,total_precip_mm,total_snow_cm,avg_humidity,uv,chance_of_rain,chance_of_snow,condition,yd_condition,visibility_km,sunrise,sunset,pressure_mb,pressure_diff_mb
Valdivia,2018-01-01,17.9,7.7,12.7,17.0,0.0,0.0,76,11.5,0,0,Nublado,Nublado,6.4,06:28 AM,09:25 PM,1019.92,3.0
Valdivia,2018-01-02,15.7,10.6,13.4,20.7,0.7,0.0,99,1.7,100,0,Lluvia,Nublado,5.9,06:29 AM,09:25 PM,1017.54,4.0
Valdivia,2018-01-03,16.5,12.9,14.7,25.4,25.68,0.0,99,1.6,100,0,Lluvia,Lluvia,5.1,06:30 AM,09:25 PM,1010.83,6.0
Valdivia,2018-01-04,16.2,11.7,14.1,21.7,1.7,0.0,89,4.7,100,0,Lluvia,Lluvia,9.4,06:31 AM,09:25 PM,1013.42,8.0
Valdivia,2018-01-05,17.8,9.6,13.6,15.4,0.1,0.0,76,11.2,100,0,Nublado,Lluvia,8.4,06:32 AM,09:25 PM,1022.12,8.0
Valdivia,2018-01-06,21.6,8.1,14.8,9.5,0.0,0.0,76,11.1,0,0,Nublado,Nublado,6.7,06:33 AM,09:25 PM,1021.88,5.0
Valdivia,2018-01-07,25.3,11.4,17.9,14.0,0.0,0.0,77,11.2,0,0,Nublado,Nublado,6.6,06:34 AM,09:25 PM,1016.96,6.0
Valdivia,2018-01-08,24.8,13.1,17.6,17.4,0.0,0.0,77,11.2,0,0,Soleado,Nublado,6.4,06:35 AM,09:24 PM,1014.04,5.0
Valdivia,2018-01-09,24.8,12.2,18.1,14.7,0.0,0.0,77,8.8,0,0,Nublado,Soleado,7.6,06:36 AM,09:24 PM,1016.25,2.0
Valdivia,2018-01-10,24.7,13.1,18.4,13.3,0.0,0.0,67,10.6,0,0,Soleado,Nublado,8.3,06:37 AM,09:24 PM,1015.08,3.0
Valdivia,2018-01-11,25.0,11.2,17.5,12.7,0.0,0.0,66,10.6,0,0,Soleado,Soleado,10.0,06:38 AM,09:24 PM,1015.96,2.0
Valdivia,2018-01-12,20.2,11.3,16.0,18.0,0.4,0.0,69,11.0,100,0,Lluvia,Soleado,9.0,06:39 AM,09:23 PM,1018.08,7.0
